абс,abs
акп,кпп
амортизатор кабины с пневмоподушкой,амортизатор кабіни з пневмоподушкою
амортизатор кабины,амортизатор кабіни
барабан тормозной,барабан гальмівний
бачок расширительный,бачок розширювальний
блок ступенек,блок сходинок
блок управления,блок управління
болт рессорный,болт ресорний
вал разжимной левый,вал розтискний лівий
вал разжимной правый,вал розтискний правий
вал разжимной,вал розтискний
вал распределительный,розподільний вал
винт,гвинт з циліндр. головкою
влагоотделитель,вологовіддільник
втулка рессорная,втулка ресорна
втулка стабилизатора пластиковая,втулка стабілізатора пластикова
втулка стабилизатора резиновая,втулка стабілізатора гумова
втулка стабилизатора,втулка стабілізатора
габаритный фонарь,ліхтар габаритний
гайка ступицы,гайка маточини
гальмо,тормоз
головка компрессора в сборе,головка компресора в зборі
головка распределительная,розподільна голівка
гума,резина
даф,daf
двигун,двигатель
дефлектор кабины угловой,дефлектор кабіни кутовий
диск сцепления,диск зчеплення
диск тормозной,диск гальмівний
дисковый кулачек,дисковий кулачок
защита барабана тормозного,захист барабана гальмівного
зеркало,дзеркало
инжектор,інжектор
инструмент,інструмент
кабель электрический,кабель електричний
камера тормозная,камера гальмівна
клапан ограничения давления,клапан обмеження тиску
клапан перепускной,клапан перепускний
клапан разгрузочный четырехконтурный,клапан розвантажувальний чотириконтурний
клапан ускорительный,клапан прискорювальний
клапан электромагнитный,клапан електромагнітний
коленвал компрессора,колінвал компресора
колодка барабанная металл,колодка барабанна металева
колодки тормозные,колодки гальмівні
колпак ступицы,ковпак маточини
кольца поршневые,кільця поршневі
кольцо регулировочное,регулювальне кільце
кольцо уплотнительное,кільце ущільнююче
кольцо,ущільнювальне кільце
комплект ковриков салона,комплект ковриків салона
комплект прокладок головки блока,комплект прокладок гбц
комплект ремонтный вала разжимного,комплект ремонтний вала розтискного
комплект ремонтный влагоотделителя,комплект ремонтний вологовідділювача
комплект ремонтный колодки барабанной,комплект ремонтний колодки барабанної
комплект ремонтный компрессора,комплект ремонтний компресора
комплект ремонтный направляющих суппорта,комплект ремонтний направляючих супорта
комплект ремонтный пгу,комплект ремонтний пгп
комплект ремонтный прокладок с клапанами,комплект ремонтний прокладок з клапанами
комплект ремонтный стабилизатора,комплект ремонтний стабілізатора
комплект ремонтный суппорта,комплект ремонтний супорта
комплект ремонтный тяги реактивной,комплект ремонтний тяги реактивної
комплект ремонтный,комплект ремонтний
комплект сцепления,комплект зчеплення
компрессор,компресор
корзина сцепления,корзина зчеплення
кран тормоза стояночного,кран стоянкових гальм
кран тормозной главный,кран гальмівний головний
кран уровня пола,кран рівня підлоги
крестовина вала карданного,хрестовина карданного вала
кронштейн рессоры,кронштейн ресори
крыло,крило
крышка,кришка
лампа сигнальная,лампа сигнальна
лист коренной,лист корінний
ман,man
накладка ступеньки,накладка сходинки
накладки тормозные,накладки гальмівні
наконечник рулевой тяги,накінечник тяги рульової
наконечник тяги рулевой,накінечник тяги рульової
насос гур,насос підсилювача рульового управління
насос подкачки,насос підкачки
отбойник рессоры,відбійник ресори
паливо,топливо
патрубок интеркулера,патрубок інтеркулера
патрубок радиатора,патрубок радіатора
пгу,пневмогідропідсилювач
переключатель,перемикач
переходник,перехідник
плунжерная пара,плунжерна пара
пневмогидроусилитель сцепления,пневмогідропідсилювач зчеплення
пневмоподушка (баллон),пневмоподушка (балон)
пневмоподушка (с мет стаканом),пневмоподушка (з мет стаканом)
пневмоподушка (с пласт стаканом),пневмоподушка (з пласт стаканом)
пневмоподушка слойная (баллон с металом),пневмоподушка прошаркова (балон з металом)
повітря,воздух
подушка двигателя,подушка двигуна
подшипник ступицы передний,підшипник маточини передній
подшипник ступицы,підшипник маточини
полурессора,напівресора
помпа воды,помпа води
поршень компрессора с кольцами,поршень компресора з кільцями
предохранитель,запобіжник
прокладка крышки клапанной,прокладка кришки клапанної
пружина колодки барабанной,пружина колодки барабанної
пыльник полуоси,пиловик піввісі
подшипник,підшипник
радиатор охладжения двигателя,радіатор охолодження двигуна
распредвал,вал розподільчий
распылитель дизель,розпилювач,дизель
распылитель,розпилювач
регулятор давления,регулятор тиску
регулятор тормозных сил,регулятор гальмівних сил
ремень клиновый,ремінь клиновий
ремінь,ремень
